date,campaign,campaign_type,impressions,clicks,conversions,spend,revenue,channel,frequency,reach,roas
2025-02-18,Meta_Prospecting_LAL_US_v2,Prospecting,101417,1105,12.0,890.35,2305.8,Meta Ads,1.08,22302,2.5897680687370137
2025-02-19,Meta_Prospecting_LAL_US_v2,Prospecting,48580,1081,13.0,887.41,2031.25,Meta Ads,5.85,11496,2.288964514711351
2025-02-20,Meta_Prospecting_LAL_US_v2,Prospecting,14107,698,18.0,788.7,1607.96,Meta Ads,6.38,49508,2.038747305692912
2025-02-21,Meta_Prospecting_LAL_US_v2,Prospecting,10480,411,8.0,788.44,2010.67,Meta Ads,4.98,44189,2.550187712444828
2025-02-22,Meta_Prospecting_LAL_US_v2,Prospecting,13195,571,8.0,772.4,2325.33,Meta Ads,6.12,5303,3.0105256343863283
2025-02-23,Meta_Prospecting_LAL_US_v2,Prospecting,31263,577,11.0,728.1,2292.74,Meta Ads,5.57,42838,3.1489355857711847
2025-02-24,Meta_Prospecting_LAL_US_v2,Prospecting,10787,433,12.0,847.83,1545.45,Meta Ads,4.19,45672,1.8228300484766993
2025-02-25,Meta_Prospecting_LAL_US_v2,Prospecting,17995,479,5.0,954.85,2051.83,Meta Ads,3.68,41510,2.1488506048070377
2025-02-26,Meta_Prospecting_LAL_US_v2,Prospecting,9987,358,7.0,716.46,2308.13,Meta Ads,7.59,49566,3.2215755241046256
2025-02-27,Meta_Prospecting_LAL_US_v2,Prospecting,17671,333,9.0,654.33,2399.6,Meta Ads,7.8,35380,3.667262696193052
2025-02-28,Meta_Prospecting_LAL_US_v2,Prospecting,9816,466,12.0,712.29,1753.32,Meta Ads,5.56,30082,2.461525502253296
2025-03-01,Meta_Prospecting_LAL_US_v2,Prospecting,22170,598,10.0,661.72,1745.81,Meta Ads,2.38,46438,2.638291120111225
2025-03-02,Meta_Prospecting_LAL_US_v2,Prospecting,13505,450,,764.53,2483.12,Meta Ads,4.14,25016,3.247903940983349
2025-03-03,Meta_Prospecting_LAL_US_v2,Prospecting,32327,494,7.0,915.47,1592.54,Meta Ads,4.48,4464,1.7395873158049961
2025-03-04,Meta_Prospecting_LAL_US_v2,Prospecting,16507,756,15.0,902.25,2452.71,Meta Ads,6.31,24364,2.7184372402327517
2025-03-05,Meta_Prospecting_LAL_US_v2,Prospecting,13611,537,15.0,921.53,2349.56,Meta Ads,5.67,26146,2.549629420637418
2025-03-06,Meta_Prospecting_LAL_US_v2,Prospecting,21519,797,23.0,748.67,1877.58,Meta Ads,4.6,10366,2.5078873201811214
2025-03-07,Meta_Prospecting_LAL_US_v2,Prospecting,14512,700,7.0,912.51,2112.45,Meta Ads,5.76,22610,2.3149883288950255
2025-03-08,Meta_Prospecting_LAL_US_v2,Prospecting,14225,647,13.0,662.7,1984.77,Meta Ads,1.17,7215,2.9949751018560433
2025-03-09,Meta_Prospecting_LAL_US_v2,Prospecting,9991,446,11.0,843.4,2000.62,Meta Ads,6.44,36438,2.372089162912023
2025-03-10,Meta_Prospecting_LAL_US_v2,Prospecting,36325,913,13.0,773.25,1890.8,Meta Ads,2.48,28128,2.445263498221791
2025-03-11,Meta_Prospecting_LAL_US_v2,Prospecting,11676,466,9.0,908.02,2278.77,Meta Ads,5.59,23241,2.5096033127023634
2025-03-12,Meta_Prospecting_LAL_US_v2,Prospecting,27811,504,11.0,728.09,11607.550000000001,Meta Ads,1.8,16285,15.942465903940448
2025-03-13,Meta_Prospecting_LAL_US_v2,Prospecting,25716,579,7.0,875.76,2310.77,Meta Ads,1.8,8668,2.6385881976797294
2025-03-14,Meta_Prospecting_LAL_US_v2,Prospecting,15206,635,6.0,792.16,2398.81,Meta Ads,1.25,40070,3.028188749747526
2025-03-15,Meta_Prospecting_LAL_US_v2,Prospecting,53590,694,7.0,846.15,10339.05,Meta Ads,7.37,39037,12.21893281333097
2025-03-16,Meta_Prospecting_LAL_US_v2,Prospecting,20511,341,5.0,675.78,2271.69,Meta Ads,5.23,21493,3.361582171712688
2025-03-17,Meta_Prospecting_LAL_US_v2,Prospecting,9520,448,13.0,875.93,2603.11,Meta Ads,3.53,35820,2.971824232529997
2025-03-18,Meta_Prospecting_LAL_US_v2,Prospecting,12587,549,7.0,942.32,,Meta Ads,6.51,4066,
2025-03-19,Meta_Prospecting_LAL_US_v2,Prospecting,25442,1060,20.0,947.69,2341.9,Meta Ads,5.38,12902,2.4711667317371715
2025-03-20,Meta_Prospecting_LAL_US_v2,Prospecting,34702,560,12.0,886.6,2136.45,Meta Ads,5.34,10049,2.40971125648545
2025-03-21,Meta_Prospecting_LAL_US_v2,Prospecting,8362,392,9.0,772.62,2328.09,Meta Ads,4.41,12992,3.0132406616447933
2025-03-22,Meta_Prospecting_LAL_US_v2,Prospecting,31708,593,15.0,682.26,2190.75,Meta Ads,1.06,13753,3.2110192595198312
2025-03-23,Meta_Prospecting_LAL_US_v2,Prospecting,20531,734,11.0,643.69,2036.61,Meta Ads,2.81,24630,3.1639609128617807
2025-03-24,Meta_Prospecting_LAL_US_v2,Prospecting,15204,546,6.0,734.31,2754.47,Meta Ads,1.76,41540,3.751099671800738
2025-03-25,Meta_Prospecting_LAL_US_v2,Prospecting,43149,684,9.0,818.28,2347.39,Meta Ads,5.64,15061,2.8686879796646623
2025-03-26,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,,0.0,0.0,Meta Ads,2.74,15512,
2025-03-27,Meta_Prospecting_LAL_US_v2,Prospecting,39588,607,10.0,941.33,1981.41,Meta Ads,4.15,39654,2.104904762410632
2025-03-28,Meta_Prospecting_LAL_US_v2,Prospecting,21679,707,10.0,783.02,2501.01,Meta Ads,3.47,27432,3.1940563459426325
2025-03-29,Meta_Prospecting_LAL_US_v2,Prospecting,15320,545,9.0,821.12,2459.67,Meta Ads,2.0,13419,2.995506137957911
2025-03-30,Meta_Prospecting_LAL_US_v2,Prospecting,47524,528,9.0,733.13,2280.03,Meta Ads,7.71,42736,3.1099941347373594
2025-03-31,Meta_Prospecting_LAL_US_v2,Prospecting,33703,423,7.0,693.11,2508.3,Meta Ads,7.53,16651,3.6189060899424335
2025-04-01,Meta_Prospecting_LAL_US_v2,Prospecting,20287,866,9.0,860.98,2550.72,Meta Ads,1.59,29338,2.962577527933285
2025-04-02,Meta_Prospecting_LAL_US_v2,Prospecting,15951,512,14.0,709.06,2720.69,Meta Ads,6.79,24929,3.837037768312978
2025-04-03,Meta_Prospecting_LAL_US_v2,Prospecting,41702,1024,21.0,825.61,2387.57,Meta Ads,4.42,13631,2.8918859994428363
2025-04-04,Meta_Prospecting_LAL_US_v2,Prospecting,10568,376,7.0,650.28,2407.63,Meta Ads,6.42,32204,3.702451251768469
2025-04-05,Meta_Prospecting_LAL_US_v2,Prospecting,21818,1048,13.0,844.72,1934.85,Meta Ads,2.06,41081,2.2905223032484137
2025-04-06,Meta_Prospecting_LAL_US_v2,Prospecting,35418,709,20.0,909.57,2024.89,Meta Ads,1.93,35323,2.226205789548908
2025-04-07,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,7.24,23073,
2025-04-08,Meta_Prospecting_LAL_US_v2,Prospecting,46060,584,12.0,923.12,2493.39,Meta Ads,7.28,30016,2.7010464511656123
2025-04-09,Meta_Prospecting_LAL_US_v2,Prospecting,13005,489,14.0,690.79,2156.6,Meta Ads,4.26,39284,3.121932859479726
2025-04-10,Meta_Prospecting_LAL_US_v2,Prospecting,11103,512,11.0,841.47,2012.36,Meta Ads,7.09,39461,2.39148157391232
2025-04-11,Meta_Prospecting_LAL_US_v2,Prospecting,16754,810,11.0,813.39,2580.53,Meta Ads,5.67,15235,3.1725617477470833
2025-04-12,Meta_Prospecting_LAL_US_v2,Prospecting,16786,667,13.0,782.12,2578.61,Meta Ads,2.3,1045,3.2969493172403213
2025-04-13,Meta_Prospecting_LAL_US_v2,Prospecting,10589,486,9.0,794.35,2516.7,Meta Ads,3.3,11126,3.1682507710706864
2025-04-14,Meta_Prospecting_LAL_US_v2,Prospecting,19910,762,14.0,893.34,2594.12,Meta Ads,1.95,39492,2.9038440011641704
2025-04-15,Meta_Prospecting_LAL_US_v2,Prospecting,11182,433,5.0,758.74,2186.9,Meta Ads,6.42,34748,2.8822785143791023
2025-04-16,Meta_Prospecting_LAL_US_v2,Prospecting,18893,583,15.0,686.47,2970.29,Meta Ads,7.9,22931,4.326904307544393
2025-04-17,Meta_Prospecting_LAL_US_v2,Prospecting,23585,592,17.0,669.15,2217.91,Meta Ads,4.82,4294,3.314518418889636
2025-04-18,Meta_Prospecting_LAL_US_v2,Prospecting,29168,799,10.0,850.58,1937.82,Meta Ads,5.59,20938,2.2782336758447177
2025-04-19,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,6.22,31925,
2025-04-20,Meta_Prospecting_LAL_US_v2,Prospecting,26291,788,11.0,690.31,2808.8,Meta Ads,2.57,8729,4.068896582694732
2025-04-21,Meta_Prospecting_LAL_US_v2,Prospecting,21019,783,23.0,915.28,2398.32,Meta Ads,3.35,45684,2.62031290971069
2025-04-22,Meta_Prospecting_LAL_US_v2,Prospecting,12151,558,12.0,737.58,2761.32,Meta Ads,3.89,37811,3.743756609452534
2025-04-23,Meta_Prospecting_LAL_US_v2,Prospecting,20999,471,11.0,703.46,2032.5,Meta Ads,5.16,11202,2.889290080459443
2025-04-24,Meta_Prospecting_LAL_US_v2,Prospecting,26033,550,12.0,859.34,2383.11,Meta Ads,6.95,44553,2.7731863988642447
2025-04-25,Meta_Prospecting_LAL_US_v2,Prospecting,35037,694,17.0,843.43,2166.36,Meta Ads,2.78,7951,2.56851190970205
2025-04-26,Meta_Prospecting_LAL_US_v2,Prospecting,64000,703,7.0,858.24,2264.4,Meta Ads,4.3,17636,2.6384228187919465
2025-04-27,Meta_Prospecting_LAL_US_v2,Prospecting,19789,432,4.0,684.64,2232.54,Meta Ads,6.26,23084,3.260896237438654
2025-04-28,Meta_Prospecting_LAL_US_v2,Prospecting,19010,694,15.0,714.93,2815.77,Meta Ads,1.61,43172,3.9385254500440605
2025-04-29,Meta_Prospecting_LAL_US_v2,Prospecting,8908,383,10.0,687.51,2247.11,Meta Ads,4.59,7296,3.2684760948931655
2025-04-30,Meta_Prospecting_LAL_US_v2,Prospecting,8860,427,8.0,687.28,2214.47,Meta Ads,2.01,15026,3.222078337795367
2025-05-01,Meta_Prospecting_LAL_US_v2,Prospecting,11227,556,7.0,901.56,2499.85,Meta Ads,4.77,19586,2.7728049159235106
2025-05-02,Meta_Prospecting_LAL_US_v2,Prospecting,25181,642,16.0,828.47,2931.87,Meta Ads,6.37,20225,3.5388970029089766
2025-05-03,Meta_Prospecting_LAL_US_v2,Prospecting,25484,570,9.0,828.8,2499.25,Meta Ads,2.66,34038,3.0155043436293436
2025-05-04,Meta_Prospecting_LAL_US_v2,Prospecting,10550,401,11.0,730.13,2296.96,Meta Ads,6.95,31204,3.1459603084382235
2025-05-05,Meta_Prospecting_LAL_US_v2,Prospecting,13147,490,5.0,649.6,2998.2,Meta Ads,3.34,20523,4.61545566502463
2025-05-06,Meta_Prospecting_LAL_US_v2,Prospecting,11882,463,7.0,782.12,2653.33,Meta Ads,2.34,11371,3.3924845292282515
2025-05-07,Meta_Prospecting_LAL_US_v2,Prospecting,53860,990,14.0,798.47,2159.96,Meta Ads,4.26,42804,2.7051235487870553
2025-05-08,Meta_Prospecting_LAL_US_v2,Prospecting,26875,718,13.0,641.39,2400.21,Meta Ads,7.13,29329,3.7422005332169195
2025-05-09,Meta_Prospecting_LAL_US_v2,Prospecting,10247,500,12.0,698.05,2938.74,Meta Ads,1.48,29429,4.209927655612062
2025-05-10,Meta_Prospecting_LAL_US_v2,Prospecting,27427,530,15.0,751.49,2722.3,Meta Ads,3.29,46275,3.6225365606994107
2025-05-11,Meta_Prospecting_LAL_US_v2,Prospecting,14465,467,13.0,856.1,2700.45,Meta Ads,5.57,4623,3.1543628080831674
2025-05-12,Meta_Prospecting_LAL_US_v2,Prospecting,36337,634,11.0,858.24,2887.2,Meta Ads,3.5,22378,3.3640939597315436
2025-05-13,Meta_Prospecting_LAL_US_v2,Prospecting,70928,875,16.0,762.85,2898.08,Meta Ads,1.5,10294,3.7990168447270105
2025-05-14,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,3.32,1750,
2025-05-15,Meta_Prospecting_LAL_US_v2,Prospecting,28550,437,11.0,836.25,2778.22,Meta Ads,6.75,25123,3.322236173393124
2025-05-16,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,7.78,44327,
2025-05-17,Meta_Prospecting_LAL_US_v2,Prospecting,27222,439,6.0,763.56,2640.62,Meta Ads,1.28,9014,3.4583005919639582
2025-05-18,Meta_Prospecting_LAL_US_v2,Prospecting,11052,487,6.0,899.47,2915.55,Meta Ads,4.98,43732,3.241408829644124
2025-05-19,Meta_Prospecting_LAL_US_v2,Prospecting,42614,887,11.0,887.31,2554.46,Meta Ads,1.74,30259,2.878881112576214
2025-05-20,Meta_Prospecting_LAL_US_v2,Prospecting,18332,862,24.0,782.79,2935.22,Meta Ads,5.76,47897,3.749690210656753
2025-05-21,Meta_Prospecting_LAL_US_v2,Prospecting,38008,573,12.0,872.72,2746.78,Meta Ads,1.06,45230,3.1473783114859293
2025-05-22,Meta_Prospecting_LAL_US_v2,Prospecting,24665,747,21.0,701.78,3096.47,Meta Ads,1.1,49046,4.4123087007324235
2025-05-23,Meta_Prospecting_LAL_US_v2,Prospecting,40826,841,24.0,761.63,2106.35,Meta Ads,6.44,13392,2.7655817129052163
2025-05-24,Meta_Prospecting_LAL_US_v2,Prospecting,12515,454,9.0,860.95,2463.16,Meta Ads,1.52,42466,2.860979150937917
2025-05-25,Meta_Prospecting_LAL_US_v2,Prospecting,30489,798,15.0,890.17,,Meta Ads,3.14,34096,
2025-05-26,Meta_Prospecting_LAL_US_v2,Prospecting,18090,868,25.0,904.49,2476.73,Meta Ads,7.71,15643,2.7382613406450043
2025-05-27,Meta_Prospecting_LAL_US_v2,Prospecting,64949,928,21.0,957.91,2693.11,Meta Ads,7.9,44663,2.8114436638097526
2025-05-28,Meta_Prospecting_LAL_US_v2,Prospecting,37867,953,17.0,889.05,2663.26,Meta Ads,2.13,21271,2.9956245430515724
2025-05-29,Meta_Prospecting_LAL_US_v2,Prospecting,32896,566,15.0,956.71,2481.53,Meta Ads,4.93,16386,2.593816307972113
2025-05-30,Meta_Prospecting_LAL_US_v2,Prospecting,19537,700,12.0,702.71,3144.44,Meta Ads,4.91,29822,4.474733531613325
2025-05-31,Meta_Prospecting_LAL_US_v2,Prospecting,14376,715,18.0,900.1,3019.55,Meta Ads,4.17,40084,3.3546828130207755
2025-06-01,Meta_Prospecting_LAL_US_v2,Prospecting,19280,762,8.0,953.49,2504.2,Meta Ads,7.47,11962,2.6263516135460256
2025-06-02,Meta_Prospecting_LAL_US_v2,Prospecting,20765,557,10.0,952.95,2798.16,Meta Ads,6.28,13131,2.93631355265229
2025-06-03,Meta_Prospecting_LAL_US_v2,Prospecting,30784,1024,12.0,842.44,2377.73,Meta Ads,6.35,36861,2.822432458097906
2025-06-04,Meta_Prospecting_LAL_US_v2,Prospecting,22974,1047,29.0,893.97,2990.74,Meta Ads,2.89,7953,3.3454590198776244
2025-06-05,Meta_Prospecting_LAL_US_v2,Prospecting,28332,536,11.0,810.22,2915.01,Meta Ads,4.04,28500,3.5978005973686162
2025-06-06,Meta_Prospecting_LAL_US_v2,Prospecting,11853,454,9.0,833.0,2872.87,Meta Ads,4.41,14856,3.4488235294117646
2025-06-07,Meta_Prospecting_LAL_US_v2,Prospecting,7037,330,7.0,646.74,2253.15,Meta Ads,3.09,18004,3.4838575006957977
2025-06-08,Meta_Prospecting_LAL_US_v2,Prospecting,14879,686,16.0,821.12,,Meta Ads,1.66,39958,
2025-06-09,Meta_Prospecting_LAL_US_v2,Prospecting,11263,437,8.0,838.2,2343.94,Meta Ads,1.88,10823,2.7963970412789307
2025-06-10,Meta_Prospecting_LAL_US_v2,Prospecting,19804,624,12.0,924.96,3171.68,Meta Ads,2.26,45366,3.4289915239577926
2025-06-11,Meta_Prospecting_LAL_US_v2,Prospecting,13735,476,7.0,794.97,2664.14,Meta Ads,2.43,32609,3.351245958967005
2025-06-12,Meta_Prospecting_LAL_US_v2,Prospecting,10964,448,10.0,868.15,2967.3,Meta Ads,2.7,43797,3.41795772619939
2025-06-13,Meta_Prospecting_LAL_US_v2,Prospecting,18303,479,7.0,769.83,2509.58,Meta Ads,2.79,5935,3.259914526583791
2025-06-14,Meta_Prospecting_LAL_US_v2,Prospecting,12480,554,13.0,837.68,2414.93,Meta Ads,4.19,31514,2.882878903638621
2025-06-15,Meta_Prospecting_LAL_US_v2,Prospecting,10512,461,10.0,874.85,2916.53,Meta Ads,4.57,10752,3.33374864262445
2025-06-16,Meta_Prospecting_LAL_US_v2,Prospecting,26163,730,10.0,714.2,2294.06,Meta Ads,3.16,17270,3.2120694483338
2025-06-17,Meta_Prospecting_LAL_US_v2,Prospecting,16124,641,9.0,807.09,2482.77,Meta Ads,7.35,40481,3.076199680333048
2025-06-18,Meta_Prospecting_LAL_US_v2,Prospecting,15898,667,8.0,683.09,3110.8,Meta Ads,4.87,23458,4.554011916438537
2025-06-19,Meta_Prospecting_LAL_US_v2,Prospecting,11057,544,14.0,777.5,2185.66,Meta Ads,6.51,24065,2.811138263665595
2025-06-20,Meta_Prospecting_LAL_US_v2,Prospecting,15969,733,16.0,729.97,2543.88,Meta Ads,7.47,42003,3.4849103387810456
2025-06-21,Meta_Prospecting_LAL_US_v2,Prospecting,18440,840,23.0,938.02,3226.32,Meta Ads,2.14,46652,3.439500223875824
2025-06-22,Meta_Prospecting_LAL_US_v2,Prospecting,27466,567,11.0,757.52,2661.25,Meta Ads,4.0,29693,3.5131085647903686
2025-06-23,Meta_Prospecting_LAL_US_v2,Prospecting,12545,521,6.0,927.66,2676.79,Meta Ads,4.03,17237,2.885529180949917
2025-06-24,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,3.48,29897,
2025-06-25,Meta_Prospecting_LAL_US_v2,Prospecting,29406,887,13.0,880.56,2454.8,Meta Ads,1.06,21853,2.787771418188426
2025-06-26,Meta_Prospecting_LAL_US_v2,Prospecting,24533,425,7.0,646.28,2577.59,Meta Ads,6.71,34795,3.9883487033483944
2025-06-27,Meta_Prospecting_LAL_US_v2,Prospecting,20887,636,10.0,899.12,3278.68,Meta Ads,1.78,10024,3.6465432867692855
2025-06-28,Meta_Prospecting_LAL_US_v2,Prospecting,16917,556,12.0,921.28,2512.42,Meta Ads,7.97,12585,2.7270970823202503
2025-06-29,Meta_Prospecting_LAL_US_v2,Prospecting,30590,444,12.0,809.03,2855.94,Meta Ads,6.41,15092,3.5300792306836586
2025-06-30,Meta_Prospecting_LAL_US_v2,Prospecting,19625,906,11.0,822.01,2510.98,Meta Ads,5.06,46427,3.054683033053126
2025-07-01,Meta_Prospecting_LAL_US_v2,Prospecting,17733,809,8.0,782.78,2243.22,Meta Ads,2.08,8800,2.8657093947213776
2025-07-02,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,4.61,18772,
2025-07-03,Meta_Prospecting_LAL_US_v2,Prospecting,27800,978,20.0,792.28,2631.88,Meta Ads,2.83,8672,3.3219063967284295
2025-07-04,Meta_Prospecting_LAL_US_v2,Prospecting,16711,755,21.0,735.03,2960.27,Meta Ads,2.77,39200,4.027413847053862
2025-07-05,Meta_Prospecting_LAL_US_v2,Prospecting,10731,468,11.0,688.2,2245.74,Meta Ads,6.81,43229,3.263208369659982
2025-07-06,Meta_Prospecting_LAL_US_v2,Prospecting,31427,548,11.0,666.74,2411.89,Meta Ads,3.66,27364,3.6174370819209885
2025-07-07,Meta_Prospecting_LAL_US_v2,Prospecting,17730,695,9.0,858.29,1992.95,Meta Ads,4.16,9043,2.322000722366566
2025-07-08,Meta_Prospecting_LAL_US_v2,Prospecting,20263,468,10.0,922.77,2660.66,Meta Ads,6.9,6192,2.8833403773421327
2025-07-09,Meta_Prospecting_LAL_US_v2,Prospecting,13362,483,9.0,743.03,2548.02,Meta Ads,1.61,20217,3.429228967874783
2025-07-10,Meta_Prospecting_LAL_US_v2,Prospecting,8533,335,4.0,652.58,2188.56,Meta Ads,5.16,41463,3.3537037604584876
2025-07-11,Meta_Prospecting_LAL_US_v2,Prospecting,10032,395,10.0,676.88,,Meta Ads,5.05,36829,
2025-07-12,Meta_Prospecting_LAL_US_v2,Prospecting,25695,1151,28.0,935.52,2228.94,Meta Ads,3.98,40796,2.382567983581324
