date,campaign,campaign_type,impressions,clicks,conversions,spend,revenue,channel,quality_score,avg_position,roas
2025-01-25,GA_Search_Brand_US_v2,Search - Brand,19895,599,73.0,495.39,1934.75,Google Ads,4.1,3.19,3.9055087910535136
2025-01-26,GA_Search_Brand_US_v2,Search - Brand,19878,314,30.0,451.33,1928.79,Google Ads,7.7,5.99,4.273569228723994
2025-01-27,GA_Search_Brand_US_v2,Search - Brand,10478,410,39.0,547.68,2469.49,Google Ads,8.3,2.03,4.50900160677768
2025-01-28,GA_Search_Brand_US_v2,Search - Brand,30709,418,49.0,520.91,1936.12,Google Ads,3.3,3.39,3.716803286556219
2025-01-29,GA_Search_Brand_US_v2,Search - Brand,40294,768,88.0,623.77,2787.26,Google Ads,5.9,1.14,4.468409830546516
2025-01-30,GA_Search_Brand_US_v2,Search - Brand,9543,453,48.0,581.94,2531.83,Google Ads,5.8,6.05,4.350671890572911
2025-01-31,GA_Search_Brand_US_v2,Search - Brand,11549,372,51.0,470.25,2123.18,Google Ads,4.8,7.16,4.515002658160553
2025-02-01,GA_Search_Brand_US_v2,Search - Brand,13973,643,91.0,556.52,2434.32,Google Ads,3.1,4.98,4.374182419320061
2025-02-02,GA_Search_Brand_US_v2,Search - Brand,9831,405,57.0,579.28,2658.6,Google Ads,7.3,1.18,4.5894904018781935
2025-02-03,GA_Search_Brand_US_v2,Search - Brand,18565,636,90.0,581.25,2065.03,Google Ads,3.3,2.52,3.5527397849462368
2025-02-04,GA_Search_Brand_US_v2,Search - Brand,18133,344,43.0,442.02,2255.97,Google Ads,9.2,4.07,5.10377358490566
2025-02-05,GA_Search_Brand_US_v2,Search - Brand,16117,580,76.0,596.68,1983.12,Google Ads,5.8,5.11,3.3235905342897367
2025-02-06,GA_Search_Brand_US_v2,Search - Brand,29960,592,58.0,626.83,2100.24,Google Ads,8.8,4.47,3.3505735207312983
2025-02-07,GA_Search_Brand_US_v2,Search - Brand,10982,459,56.0,654.06,2405.59,Google Ads,3.6,7.41,3.6779347460477636
2025-02-08,GA_Search_Brand_US_v2,Search - Brand,38368,421,41.0,550.58,1916.82,Google Ads,8.3,7.57,3.4814559192124666
2025-02-09,GA_Search_Brand_US_v2,Search - Brand,8563,399,58.0,582.0,2321.28,Google Ads,2.0,1.75,3.988453608247423
2025-02-10,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,7.9,1.97,
2025-02-11,GA_Search_Brand_US_v2,Search - Brand,18382,467,46.0,652.66,2594.62,Google Ads,4.5,3.51,3.975454294732326
2025-02-12,GA_Search_Brand_US_v2,Search - Brand,13139,431,55.0,627.25,2434.61,Google Ads,5.2,3.95,3.8814029493822244
2025-02-13,GA_Search_Brand_US_v2,Search - Brand,10054,309,27.0,461.38,1927.17,Google Ads,2.5,5.1,4.176969092721834
2025-02-14,GA_Search_Brand_US_v2,Search - Brand,14183,601,60.0,633.02,2698.5,Google Ads,1.2,6.41,4.262898486619696
2025-02-15,GA_Search_Brand_US_v2,Search - Brand,14271,429,49.0,618.22,2686.82,Google Ads,7.0,1.95,4.346058037591796
2025-02-16,GA_Search_Brand_US_v2,Search - Brand,17263,432,44.0,615.62,2663.18,Google Ads,6.3,6.62,4.3260128001039595
2025-02-17,GA_Search_Brand_US_v2,Search - Brand,17599,558,62.0,460.68,12333.45,Google Ads,6.6,5.27,26.772271424850224
2025-02-18,GA_Search_Brand_US_v2,Search - Brand,13848,565,65.0,503.04,2194.97,Google Ads,3.3,7.87,4.36341046437659
2025-02-19,GA_Search_Brand_US_v2,Search - Brand,18141,567,47.0,487.48,2624.63,Google Ads,3.2,5.56,5.3840772954787885
2025-02-20,GA_Search_Brand_US_v2,Search - Brand,14949,412,40.0,558.94,1800.92,Google Ads,8.5,6.01,3.222027409024224
2025-02-21,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,7.9,2.37,
2025-02-22,GA_Search_Brand_US_v2,Search - Brand,35332,707,64.0,651.78,2223.8,Google Ads,4.0,6.38,3.4118874466844646
2025-02-23,GA_Search_Brand_US_v2,Search - Brand,9212,444,44.0,560.83,2879.85,Google Ads,6.7,1.55,5.134978513988195
2025-02-24,GA_Search_Brand_US_v2,Search - Brand,15329,618,64.0,602.34,2047.76,Google Ads,8.5,5.6,3.399674602384035
2025-02-25,GA_Search_Brand_US_v2,Search - Brand,12031,532,44.0,443.17,2840.87,Google Ads,9.0,1.39,6.410339147505471
2025-02-26,GA_Search_Brand_US_v2,Search - Brand,19192,525,48.0,594.8,2440.25,Google Ads,1.1,1.81,4.10263954270343
2025-02-27,GA_Search_Brand_US_v2,Search - Brand,16930,423,35.0,527.67,2138.42,Google Ads,8.3,1.76,4.052570735497565
2025-02-28,GA_Search_Brand_US_v2,Search - Brand,17704,632,53.0,577.69,2569.66,Google Ads,4.2,1.37,4.448164240336512
2025-03-01,GA_Search_Brand_US_v2,Search - Brand,11948,305,36.0,445.83,2616.23,Google Ads,7.5,3.25,5.868223313819169
2025-03-02,GA_Search_Brand_US_v2,Search - Brand,11749,543,79.0,581.52,2673.06,Google Ads,4.3,7.96,4.596677672307058
2025-03-03,GA_Search_Brand_US_v2,Search - Brand,40209,554,45.0,483.07,2426.4,Google Ads,6.5,3.44,5.022874531641377
2025-03-04,GA_Search_Brand_US_v2,Search - Brand,33984,723,99.0,590.26,2757.04,Google Ads,6.8,6.33,4.670890793887439
2025-03-05,GA_Search_Brand_US_v2,Search - Brand,9517,375,53.0,466.0,,Google Ads,4.6,1.93,
2025-03-06,GA_Search_Brand_US_v2,Search - Brand,17015,451,67.0,616.77,,Google Ads,5.6,4.18,
2025-03-07,GA_Search_Brand_US_v2,Search - Brand,11322,502,72.0,521.84,2259.96,Google Ads,7.5,2.3,4.33075272114058
2025-03-08,GA_Search_Brand_US_v2,Search - Brand,8662,373,43.0,534.38,2367.03,Google Ads,5.3,2.34,4.429488379056103
2025-03-09,GA_Search_Brand_US_v2,Search - Brand,10277,475,38.0,510.41,2557.65,Google Ads,1.1,1.7,5.010971571873592
2025-03-10,GA_Search_Brand_US_v2,Search - Brand,17842,413,41.0,460.08,3009.34,Google Ads,1.1,4.02,6.540905929403583
2025-03-11,GA_Search_Brand_US_v2,Search - Brand,31798,434,58.0,587.95,2881.46,Google Ads,7.0,1.53,4.900858916574538
2025-03-12,GA_Search_Brand_US_v2,Search - Brand,26289,386,40.0,548.77,1900.6,Google Ads,8.6,7.37,3.4633817446288973
2025-03-13,GA_Search_Brand_US_v2,Search - Brand,28583,382,33.0,471.46,3013.35,Google Ads,8.1,4.14,6.391528443558308
2025-03-14,GA_Search_Brand_US_v2,Search - Brand,14009,693,59.0,594.21,2762.12,Google Ads,3.8,6.87,4.648390299725686
2025-03-15,GA_Search_Brand_US_v2,Search - Brand,7706,381,55.0,522.34,2812.69,Google Ads,5.2,7.86,5.384787686181414
2025-03-16,GA_Search_Brand_US_v2,Search - Brand,14206,422,37.0,605.74,1976.8,Google Ads,3.1,5.74,3.2634463631260937
2025-03-17,GA_Search_Brand_US_v2,Search - Brand,35847,527,46.0,442.5,2968.77,Google Ads,9.9,7.31,6.709084745762712
2025-03-18,GA_Search_Brand_US_v2,Search - Brand,12247,548,54.0,582.83,2776.0,Google Ads,3.3,1.95,4.762966902870477
2025-03-19,GA_Search_Brand_US_v2,Search - Brand,51593,605,89.0,489.19,2586.44,Google Ads,4.7,6.81,5.2871890267585195
2025-03-20,GA_Search_Brand_US_v2,Search - Brand,14406,545,67.0,636.05,2830.14,Google Ads,7.1,2.9,4.449555852527317
2025-03-21,GA_Search_Brand_US_v2,Search - Brand,37739,446,63.0,540.0,2637.59,Google Ads,8.9,4.31,4.884425925925926
2025-03-22,GA_Search_Brand_US_v2,Search - Brand,23167,406,40.0,501.81,2565.69,Google Ads,1.5,5.53,5.112871405512046
2025-03-23,GA_Search_Brand_US_v2,Search - Brand,9147,448,38.0,542.01,2952.57,Google Ads,3.7,7.32,5.447445619084519
2025-03-24,GA_Search_Brand_US_v2,Search - Brand,29022,479,61.0,656.97,2106.76,Google Ads,6.1,7.38,3.206782653698038
2025-03-25,GA_Search_Brand_US_v2,Search - Brand,12653,437,57.0,640.4,2853.41,Google Ads,6.6,1.64,4.455668332292317
2025-03-26,GA_Search_Brand_US_v2,Search - Brand,24287,389,58.0,532.01,2643.17,Google Ads,1.6,3.55,4.968271273096371
2025-03-27,GA_Search_Brand_US_v2,Search - Brand,8843,385,53.0,570.71,2615.54,Google Ads,7.0,6.55,4.582958069772739
2025-03-28,GA_Search_Brand_US_v2,Search - Brand,7721,386,52.0,543.11,2661.64,Google Ads,5.8,5.92,4.9007383402993865
2025-03-29,GA_Search_Brand_US_v2,Search - Brand,11185,492,71.0,659.26,2772.06,Google Ads,8.4,1.18,4.204805387859115
2025-03-30,GA_Search_Brand_US_v2,Search - Brand,15990,389,47.0,494.42,2237.96,Google Ads,3.0,4.15,4.5264350147647745
2025-03-31,GA_Search_Brand_US_v2,Search - Brand,12951,399,53.0,464.98,2832.78,Google Ads,2.8,6.8,6.092262032775603
2025-04-01,GA_Search_Brand_US_v2,Search - Brand,51922,579,51.0,627.48,3147.51,Google Ads,8.1,6.16,5.016112067316887
2025-04-02,GA_Search_Brand_US_v2,Search - Brand,30281,468,44.0,606.13,2853.92,Google Ads,7.3,3.88,4.70842888489268
2025-04-03,GA_Search_Brand_US_v2,Search - Brand,16715,400,57.0,443.2,2117.07,Google Ads,8.1,6.15,4.77678249097473
2025-04-04,GA_Search_Brand_US_v2,Search - Brand,11529,513,63.0,553.08,3261.42,Google Ads,8.0,4.86,5.896832284660447
2025-04-05,GA_Search_Brand_US_v2,Search - Brand,13434,661,74.0,648.89,2855.73,Google Ads,1.9,7.39,4.400946231256453
2025-04-06,GA_Search_Brand_US_v2,Search - Brand,33833,441,42.0,548.38,3064.51,Google Ads,3.5,5.11,5.5882964367774175
2025-04-07,GA_Search_Brand_US_v2,Search - Brand,15504,449,64.0,468.35,2375.92,Google Ads,3.3,3.81,5.072958257713249
2025-04-08,GA_Search_Brand_US_v2,Search - Brand,37416,627,51.0,586.86,3015.26,Google Ads,9.4,7.04,5.137954537709164
2025-04-09,GA_Search_Brand_US_v2,Search - Brand,12627,475,54.0,501.29,2308.72,Google Ads,5.4,1.35,4.605557661234015
2025-04-10,GA_Search_Brand_US_v2,Search - Brand,8032,361,30.0,448.65,2685.88,Google Ads,2.0,7.3,5.986581968126602
2025-04-11,GA_Search_Brand_US_v2,Search - Brand,26396,485,45.0,642.59,3219.49,Google Ads,3.6,5.87,5.010177562676045
2025-04-12,GA_Search_Brand_US_v2,Search - Brand,14841,423,44.0,521.5,2625.91,Google Ads,8.8,7.58,5.035302013422818
2025-04-13,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,8.6,2.75,
2025-04-14,GA_Search_Brand_US_v2,Search - Brand,19464,543,47.0,636.95,2598.86,Google Ads,9.1,5.86,4.080163278122302
2025-04-15,GA_Search_Brand_US_v2,Search - Brand,37057,684,70.0,557.18,2634.47,Google Ads,4.5,6.67,4.728220682723716
2025-04-16,GA_Search_Brand_US_v2,Search - Brand,9659,359,43.0,512.05,2379.05,Google Ads,6.8,5.91,4.646128307782444
2025-04-17,GA_Search_Brand_US_v2,Search - Brand,18557,506,66.0,613.62,2989.14,Google Ads,3.5,2.47,4.871321013004791
2025-04-18,GA_Search_Brand_US_v2,Search - Brand,13523,444,55.0,468.07,2552.25,Google Ads,2.6,2.93,5.452710064733908
2025-04-19,GA_Search_Brand_US_v2,Search - Brand,29942,594,53.0,518.34,2415.83,Google Ads,1.2,4.97,4.660705328548828
2025-04-20,GA_Search_Brand_US_v2,Search - Brand,10355,475,43.0,475.35,3066.17,Google Ads,3.0,4.13,6.4503418533712
2025-04-21,GA_Search_Brand_US_v2,Search - Brand,10660,520,56.0,457.65,2956.48,Google Ads,6.4,6.15,6.460133289631815
2025-04-22,GA_Search_Brand_US_v2,Search - Brand,17471,642,59.0,630.41,3004.05,Google Ads,9.1,3.65,4.765232150505227
2025-04-23,GA_Search_Brand_US_v2,Search - Brand,20961,481,44.0,644.46,2432.47,Google Ads,2.2,7.02,3.7744313068305244
2025-04-24,GA_Search_Brand_US_v2,Search - Brand,15976,550,48.0,533.6,3155.19,Google Ads,9.3,4.02,5.913024737631185
2025-04-25,GA_Search_Brand_US_v2,Search - Brand,18283,429,35.0,503.5,2919.97,Google Ads,4.1,1.28,5.799344587884806
2025-04-26,GA_Search_Brand_US_v2,Search - Brand,7406,314,32.0,469.57,2494.56,Google Ads,4.8,1.12,5.312434780756862
2025-04-27,GA_Search_Brand_US_v2,Search - Brand,18284,438,47.0,496.02,3140.61,Google Ads,4.3,5.53,6.331619692754325
2025-04-28,GA_Search_Brand_US_v2,Search - Brand,11112,436,38.0,644.5,3619.35,Google Ads,4.7,4.78,5.615748642358417
2025-04-29,GA_Search_Brand_US_v2,Search - Brand,34443,537,74.0,646.43,3127.38,Google Ads,3.3,4.8,4.837925220054763
2025-04-30,GA_Search_Brand_US_v2,Search - Brand,15780,672,61.0,614.96,3021.82,Google Ads,7.3,6.53,4.913848055158059
2025-05-01,GA_Search_Brand_US_v2,Search - Brand,19771,545,74.0,586.34,3384.56,Google Ads,7.8,3.63,5.772350513354026
2025-05-02,GA_Search_Brand_US_v2,Search - Brand,17171,517,68.0,522.93,2898.67,Google Ads,8.4,7.97,5.543131967949821
2025-05-03,GA_Search_Brand_US_v2,Search - Brand,23303,342,42.0,491.09,3291.52,Google Ads,4.1,7.62,6.702478160825918
2025-05-04,GA_Search_Brand_US_v2,Search - Brand,14966,625,56.0,646.76,2302.07,Google Ads,7.9,1.09,3.5593883357041256
2025-05-05,GA_Search_Brand_US_v2,Search - Brand,31896,636,64.0,576.42,3152.02,Google Ads,6.7,7.27,5.468269664480761
2025-05-06,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,9.6,5.76,
2025-05-07,GA_Search_Brand_US_v2,Search - Brand,9371,411,36.0,565.38,2959.53,Google Ads,4.8,4.51,5.2345855884537835
2025-05-08,GA_Search_Brand_US_v2,Search - Brand,17944,344,31.0,468.05,3301.17,Google Ads,9.9,5.08,7.05302852259374
2025-05-09,GA_Search_Brand_US_v2,Search - Brand,21277,507,49.0,598.9,3648.82,Google Ads,7.7,6.89,6.092536316580398
2025-05-10,GA_Search_Brand_US_v2,Search - Brand,13939,397,42.0,479.95,3392.22,Google Ads,8.0,7.66,7.067861235545369
2025-05-11,GA_Search_Brand_US_v2,Search - Brand,11763,528,42.0,648.4,3247.53,Google Ads,1.2,4.92,5.008528685996299
2025-05-12,GA_Search_Brand_US_v2,Search - Brand,13058,500,72.0,645.07,4190.7,Google Ads,5.5,2.27,6.496504255352131
2025-05-13,GA_Search_Brand_US_v2,Search - Brand,7634,359,52.0,473.56,2546.1,Google Ads,5.8,5.48,5.376509840358138
2025-05-14,GA_Search_Brand_US_v2,Search - Brand,24155,362,50.0,539.18,3805.62,Google Ads,1.4,1.53,7.05816239474758
2025-05-15,GA_Search_Brand_US_v2,Search - Brand,25418,595,49.0,642.59,4166.97,Google Ads,3.8,5.45,6.48464806486251
2025-05-16,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,9.6,6.66,
2025-05-17,GA_Search_Brand_US_v2,Search - Brand,12455,492,51.0,513.37,3396.63,Google Ads,4.8,3.47,6.616339092662213
2025-05-18,GA_Search_Brand_US_v2,Search - Brand,28319,483,43.0,539.49,3146.89,Google Ads,2.7,1.5,5.833083096999017
2025-05-19,GA_Search_Brand_US_v2,Search - Brand,43235,455,56.0,549.64,3045.27,Google Ads,5.6,5.85,5.540481042136672
2025-05-20,GA_Search_Brand_US_v2,Search - Brand,14933,397,35.0,585.98,3431.53,Google Ads,1.3,3.38,5.856053107614595
2025-05-21,GA_Search_Brand_US_v2,Search - Brand,29408,541,71.0,458.78,3989.75,Google Ads,5.6,2.74,8.6964340206635
2025-05-22,GA_Search_Brand_US_v2,Search - Brand,23647,683,56.0,637.57,3237.24,Google Ads,6.3,5.82,5.077466003732923
2025-05-23,GA_Search_Brand_US_v2,Search - Brand,18555,483,53.0,564.27,3059.49,Google Ads,4.2,7.79,5.422032005954596
2025-05-24,GA_Search_Brand_US_v2,Search - Brand,12686,607,85.0,563.12,3726.91,Google Ads,7.9,6.22,6.618322915186816
2025-05-25,GA_Search_Brand_US_v2,Search - Brand,16511,638,58.0,522.13,2705.32,Google Ads,2.2,4.44,5.18131499818053
2025-05-26,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,8.9,5.2,
2025-05-27,GA_Search_Brand_US_v2,Search - Brand,27039,528,66.0,488.83,3127.86,Google Ads,9.6,2.0,6.39866620297445
2025-05-28,GA_Search_Brand_US_v2,Search - Brand,8169,353,49.0,461.88,3016.0,Google Ads,1.0,6.69,6.529834589070754
2025-05-29,GA_Search_Brand_US_v2,Search - Brand,27495,369,29.0,527.38,2883.79,Google Ads,8.6,5.23,5.468144411998938
2025-05-30,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,5.6,7.76,
2025-05-31,GA_Search_Brand_US_v2,Search - Brand,17127,349,36.0,479.92,3426.29,Google Ads,5.2,7.86,7.139294049008168
2025-06-01,GA_Search_Brand_US_v2,Search - Brand,20093,530,65.0,523.53,3058.15,Google Ads,3.1,3.48,5.841403548984777
2025-06-02,GA_Search_Brand_US_v2,Search - Brand,9387,420,37.0,561.45,3242.09,Google Ads,5.0,7.92,5.77449461216493
2025-06-03,GA_Search_Brand_US_v2,Search - Brand,36884,402,44.0,547.23,3112.05,Google Ads,9.6,7.7,5.686914094622005
2025-06-04,GA_Search_Brand_US_v2,Search - Brand,11260,556,76.0,499.11,2600.01,Google Ads,2.9,5.48,5.209292540722486
2025-06-05,GA_Search_Brand_US_v2,Search - Brand,12024,560,45.0,555.65,3435.43,Google Ads,2.6,3.33,6.182722937100693
2025-06-06,GA_Search_Brand_US_v2,Search - Brand,20266,370,51.0,465.91,3215.14,Google Ads,3.2,6.27,6.900774827756433
2025-06-07,GA_Search_Brand_US_v2,Search - Brand,9115,309,43.0,442.42,2416.99,Google Ads,6.0,2.9,5.463111975046336
2025-06-08,GA_Search_Brand_US_v2,Search - Brand,29487,491,40.0,572.11,2464.67,Google Ads,9.4,5.41,4.308035168062086
2025-06-09,GA_Search_Brand_US_v2,Search - Brand,19239,492,47.0,602.37,2697.54,Google Ads,6.2,1.17,4.478211066288162
2025-06-10,GA_Search_Brand_US_v2,Search - Brand,11492,420,47.0,503.51,2732.89,Google Ads,3.2,5.4,5.427677702528252
2025-06-11,GA_Search_Brand_US_v2,Search - Brand,33137,679,55.0,646.1,3623.05,Google Ads,5.0,7.66,5.607568487850178
2025-06-12,GA_Search_Brand_US_v2,Search - Brand,38699,552,73.0,570.92,4120.33,Google Ads,4.5,2.65,7.2170006305612
2025-06-13,GA_Search_Brand_US_v2,Search - Brand,14529,398,51.0,456.53,3003.07,Google Ads,1.4,6.45,6.5780343022364365
2025-06-14,GA_Search_Brand_US_v2,Search - Brand,20377,498,60.0,494.21,3307.21,Google Ads,5.6,3.05,6.6919123449545745
2025-06-15,GA_Search_Brand_US_v2,Search - Brand,18426,513,75.0,460.15,3389.24,Google Ads,2.1,5.95,7.3655112463327175
2025-06-16,GA_Search_Brand_US_v2,Search - Brand,9339,352,44.0,480.73,3192.06,Google Ads,8.6,5.9,6.640026626172696
2025-06-17,GA_Search_Brand_US_v2,Search - Brand,11069,548,52.0,626.82,3412.38,Google Ads,5.9,2.29,5.443955202450464
2025-06-18,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,8.6,5.18,
2025-06-19,GA_Search_Brand_US_v2,Search - Brand,8760,332,27.0,479.73,3114.58,Google Ads,9.6,7.01,6.492360285994205
2025-06-20,GA_Search_Brand_US_v2,Search - Brand,8411,363,37.0,505.42,3474.24,Google Ads,9.5,3.68,6.873966206323453
2025-06-21,GA_Search_Brand_US_v2,Search - Brand,35632,466,41.0,448.14,2966.92,Google Ads,1.9,5.97,6.620520373097693
2025-06-22,GA_Search_Brand_US_v2,Search - Brand,13956,581,68.0,593.18,3029.8,Google Ads,9.5,5.72,5.107724468120976
2025-06-23,GA_Search_Brand_US_v2,Search - Brand,18583,359,44.0,510.13,3098.01,Google Ads,8.2,2.8,6.07298139689883
2025-06-24,GA_Search_Brand_US_v2,Search - Brand,13608,327,49.0,445.37,3231.78,Google Ads,8.0,7.43,7.256393560410445
2025-06-25,GA_Search_Brand_US_v2,Search - Brand,11902,535,66.0,608.78,3140.8,Google Ads,1.8,4.94,5.15917080061763
2025-06-26,GA_Search_Brand_US_v2,Search - Brand,34537,498,48.0,656.5,2517.19,Google Ads,2.6,3.49,3.8342574257425746
2025-06-27,GA_Search_Brand_US_v2,Search - Brand,43992,514,49.0,518.02,2392.56,Google Ads,9.8,2.15,4.618663372070577
2025-06-28,GA_Search_Brand_US_v2,Search - Brand,7229,347,33.0,443.93,2266.72,Google Ads,2.9,4.31,5.106030229991214
2025-06-29,GA_Search_Brand_US_v2,Search - Brand,11739,561,79.0,613.0,2651.54,Google Ads,2.5,6.11,4.325513866231647
2025-06-30,GA_Search_Brand_US_v2,Search - Brand,27430,468,44.0,542.83,3460.58,Google Ads,4.3,5.37,6.375071385148204
2025-07-01,GA_Search_Brand_US_v2,Search - Brand,29479,363,37.0,488.51,3557.27,Google Ads,9.2,6.09,7.281877546007246
2025-07-02,GA_Search_Brand_US_v2,Search - Brand,30329,490,63.0,653.2,2970.78,Google Ads,5.3,6.54,4.548040416411513
2025-07-03,GA_Search_Brand_US_v2,Search - Brand,19188,647,76.0,619.48,2644.02,Google Ads,9.3,4.09,4.268128107444953
2025-07-04,GA_Search_Brand_US_v2,Search - Brand,13208,637,90.0,567.62,2896.49,Google Ads,4.0,4.64,5.102868115993093
2025-07-05,GA_Search_Brand_US_v2,Search - Brand,37093,500,59.0,629.67,3285.09,Google Ads,3.0,7.9,5.217161370241556
2025-07-06,GA_Search_Brand_US_v2,Search - Brand,24511,461,39.0,529.86,3296.58,Google Ads,5.5,7.78,6.221605707167931
2025-07-07,GA_Search_Brand_US_v2,Search - Brand,14440,422,48.0,590.32,2678.82,Google Ads,6.5,3.9,4.537911641143786
2025-07-08,GA_Search_Brand_US_v2,Search - Brand,10543,476,46.0,570.33,3476.1,Google Ads,4.5,5.8,6.094892430698017
2025-07-09,GA_Search_Brand_US_v2,Search - Brand,11503,441,62.0,615.43,2616.19,Google Ads,4.1,2.87,4.250995239101116
2025-07-10,GA_Search_Brand_US_v2,Search - Brand,10390,470,42.0,624.14,3391.9,Google Ads,3.0,2.07,5.434517896625757
2025-07-11,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,3.5,6.38,
2025-07-12,GA_Search_Brand_US_v2,Search - Brand,15732,681,93.0,621.68,3442.46,Google Ads,7.1,4.05,5.537350405353237
2025-07-13,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,4.3,2.24,
2025-07-14,GA_Search_Brand_US_v2,Search - Brand,16202,512,,503.15,2900.4,Google Ads,1.7,6.31,5.764483752360132
2025-07-15,GA_Search_Brand_US_v2,Search - Brand,9439,458,53.0,611.57,3005.82,Google Ads,2.2,7.41,4.914923884428601
2025-07-16,GA_Search_Brand_US_v2,Search - Brand,15837,607,61.0,515.21,2946.73,Google Ads,4.4,7.53,5.719473612701616
2025-07-17,GA_Search_Brand_US_v2,Search - Brand,36856,436,53.0,454.82,2958.33,Google Ads,9.3,5.17,6.5043973440042215
2025-07-18,GA_Search_Brand_US_v2,Search - Brand,33690,773,63.0,631.74,3092.79,Google Ads,4.4,4.36,4.895669104378383
2025-07-19,GA_Search_Brand_US_v2,Search - Brand,20434,428,47.0,547.5,2705.74,Google Ads,1.5,1.99,4.941990867579908
2025-07-20,GA_Search_Brand_US_v2,Search - Brand,25808,486,62.0,659.37,2526.51,Google Ads,4.8,6.55,3.8317029892169803
2025-07-21,GA_Search_Brand_US_v2,Search - Brand,7577,364,36.0,458.12,2729.99,Google Ads,7.0,7.62,5.959115515585435
2025-07-22,GA_Search_Brand_US_v2,Search - Brand,18074,379,40.0,473.23,2757.17,Google Ads,6.3,7.23,5.826278976396256
